2023-08-07 19:13:49,056 sMRI, param size = 0.089 MB
2023-08-07 19:15:19,631 ******* Epoch 44, Val Loss MSE 45.72, Val MAE 6.55 *******
2023-08-07 19:15:21,603 ******* Epoch 45, Train Loss MSE 37.42, Train MAE 6.36 *******
2023-08-07 19:15:21,604 ******* Epoch 45, Val Loss MSE 37.49, Val MAE 6.12 *******
2023-08-07 19:15:23,959 ******* Epoch 46, Train Loss MSE 40.29, Train MAE 6.60 *******
2023-08-07 19:15:23,959 ******* Epoch 46, Val Loss MSE 43.27, Val MAE 6.58 *******
2023-08-07 19:15:25,911 ******* Epoch 47, Train Loss MSE 38.52, Train MAE 6.45 *******
2023-08-07 19:15:25,912 ******* Epoch 47, Val Loss MSE 53.03, Val MAE 7.16 *******
2023-08-07 19:15:27,865 ******* Epoch 48, Train Loss MSE 36.30, Train MAE 6.33 *******
2023-08-07 19:15:27,866 ******* Epoch 48, Val Loss MSE 47.66, Val MAE 6.77 *******
2023-08-07 19:15:29,819 ******* Epoch 49, Train Loss MSE 38.16, Train MAE 6.41 *******
2023-08-07 19:15:29,820 ******* Epoch 49, Val Loss MSE 39.24, Val MAE 6.19 *******
2023-08-07 19:15:31,889 ******* Epoch 50, Train Loss MSE 36.11, Train MAE 6.21 *******
2023-08-07 19:15:31,890 ******* Epoch 50, Val Loss MSE 37.57, Val MAE 6.08 *******
2023-08-07 19:15:34,703 ******* Epoch 51, Train Loss MSE 38.80, Train MAE 6.40 *******
2023-08-07 19:15:34,704 ******* Epoch 51, Val Loss MSE 42.39, Val MAE 6.66 *******
2023-08-07 19:15:36,729 ******* Epoch 52, Train Loss MSE 37.67, Train MAE 6.37 *******
2023-08-07 19:15:36,730 ******* Epoch 52, Val Loss MSE 39.92, Val MAE 6.14 *******
2023-08-07 19:15:38,784 ******* Epoch 53, Train Loss MSE 38.78, Train MAE 6.50 *******
2023-08-07 19:15:38,784 ******* Epoch 53, Val Loss MSE 39.70, Val MAE 6.59 *******
2023-08-07 19:15:40,844 ******* Epoch 54, Train Loss MSE 37.13, Train MAE 6.34 *******
2023-08-07 19:15:40,844 ******* Epoch 54, Val Loss MSE 62.16, Val MAE 8.30 *******
2023-08-07 19:15:42,759 ******* Epoch 55, Train Loss MSE 40.80, Train MAE 6.63 *******
2023-08-07 19:15:42,760 ******* Epoch 55, Val Loss MSE 54.45, Val MAE 7.40 *******
2023-08-07 19:15:44,717 ******* Epoch 56, Train Loss MSE 38.36, Train MAE 6.41 *******
2023-08-07 19:15:44,717 ******* Epoch 56, Val Loss MSE 38.15, Val MAE 6.16 *******
2023-08-07 19:15:46,816 ******* Epoch 57, Train Loss MSE 36.50, Train MAE 6.25 *******
2023-08-07 19:15:46,817 ******* Epoch 57, Val Loss MSE 37.73, Val MAE 6.09 *******
2023-08-07 19:15:48,858 ******* Epoch 58, Train Loss MSE 35.74, Train MAE 6.19 *******
2023-08-07 19:15:48,858 ******* Epoch 58, Val Loss MSE 40.17, Val MAE 6.25 *******
2023-08-07 19:15:50,794 ******* Epoch 59, Train Loss MSE 36.49, Train MAE 6.24 *******
2023-08-07 19:15:50,794 ******* Epoch 59, Val Loss MSE 41.86, Val MAE 6.55 *******
2023-08-07 19:15:52,794 ******* Epoch 60, Train Loss MSE 38.92, Train MAE 6.47 *******
2023-08-07 19:15:52,795 ******* Epoch 60, Val Loss MSE 37.44, Val MAE 6.10 *******
2023-08-07 19:15:55,115 ******* Epoch 61, Train Loss MSE 35.10, Train MAE 6.16 *******
2023-08-07 19:15:55,115 ******* Epoch 61, Val Loss MSE 42.45, Val MAE 6.57 *******
2023-08-07 19:15:56,979 ******* Epoch 62, Train Loss MSE 35.23, Train MAE 6.23 *******
2023-08-07 19:15:56,980 ******* Epoch 62, Val Loss MSE 35.99, Val MAE 6.18 *******
2023-08-07 19:15:59,519 ******* Epoch 63, Train Loss MSE 38.07, Train MAE 6.43 *******
2023-08-07 19:15:59,520 ******* Epoch 63, Val Loss MSE 38.71, Val MAE 6.30 *******
2023-08-07 19:16:01,586 ******* Epoch 64, Train Loss MSE 37.65, Train MAE 6.37 *******
2023-08-07 19:16:01,586 ******* Epoch 64, Val Loss MSE 36.19, Val MAE 6.04 *******
2023-08-07 19:16:03,697 ******* Epoch 65, Train Loss MSE 40.48, Train MAE 6.65 *******
2023-08-07 19:16:03,697 ******* Epoch 65, Val Loss MSE 51.72, Val MAE 7.08 *******
2023-08-07 19:16:05,621 ******* Epoch 66, Train Loss MSE 36.61, Train MAE 6.26 *******
2023-08-07 19:16:05,622 ******* Epoch 66, Val Loss MSE 40.42, Val MAE 6.57 *******
2023-08-07 19:16:07,686 ******* Epoch 67, Train Loss MSE 36.35, Train MAE 6.24 *******
2023-08-07 19:16:07,687 ******* Epoch 67, Val Loss MSE 36.89, Val MAE 6.08 *******
2023-08-07 19:16:09,583 ******* Epoch 68, Train Loss MSE 36.56, Train MAE 6.27 *******
